Kamata – u procentima od tekućih prihoda,Prebivalište (u godinama),Postojeći kredit u ovoj banci,Izdržavani: broj lica koji zavise od prihoda aplikanta,Odobren kredit,Iznos kredita,Vrsta posla_nema zvanično obrazovanje: ima stalan posao,Vrsta posla_nezposlen/nema zvanično obrazovanje,Vrsta posla_radi u menadžmentu/samo-zaposlen/visoko obrazovanje,Vrsta posla_zaposlen i ima zvanično obrazovanje,Telefon_ima,Telefon_nema
4,4,1,1,1,2394,0,0,0,1,0,1
1,2,1,1,1,8133,0,0,0,1,0,1
4,2,2,1,1,730,1,0,0,0,1,0
3,4,2,2,1,1164,0,0,1,0,1,0
2,1,2,1,1,5954,1,0,0,0,0,1
4,4,1,1,0,1977,0,0,1,0,1,0
4,4,2,1,1,1526,0,0,1,0,0,1
4,3,1,1,0,3965,0,0,0,1,0,1
2,4,1,1,1,4771,0,0,0,1,0,1
2,2,1,2,1,9436,1,0,0,0,0,1
2,1,1,1,1,3832,0,0,0,1,0,1
1,1,2,1,0,5943,0,0,0,1,1,0
4,3,1,1,1,1213,0,0,0,1,1,0
3,4,1,1,1,1568,1,0,0,0,0,1
4,4,1,1,1,1755,1,0,0,0,1,0
3,4,1,1,1,2315,1,0,0,0,0,1
4,2,2,1,1,1412,0,0,1,0,1,0
4,1,2,1,1,1295,0,0,0,1,0,1
1,4,1,2,0,12612,0,0,0,1,1,0
4,3,1,2,1,2249,0,0,1,0,1,0
4,3,2,1,0,1108,0,0,0,1,0,1
4,4,1,1,1,618,0,0,0,1,0,1
4,3,1,1,1,1409,0,0,0,1,0,1
4,3,1,2,0,797,1,0,0,0,0,1
4,4,2,1,1,3617,0,0,0,1,0,1
4,4,1,1,1,1318,0,0,0,1,1,0
3,4,1,1,0,15945,0,0,0,1,1,0
4,2,1,1,1,2012,0,0,0,1,0,1
4,4,1,1,1,2622,0,0,0,1,0,1
4,4,1,1,1,2337,0,0,0,1,0,1
3,4,2,2,1,7057,0,0,1,0,1,0
4,4,1,1,1,1469,1,0,0,0,0,1
4,4,1,1,1,2323,0,0,0,1,0,1
3,2,1,1,1,932,0,0,0,1,0,1
4,3,1,1,1,1919,0,0,0,1,1,0
2,4,1,1,1,2445,0,0,0,1,1,0
2,3,2,2,0,11938,0,0,1,0,1,0
2,4,2,2,0,6458,0,0,1,0,1,0
2,2,1,1,1,6078,0,0,0,1,0,1
1,2,1,1,1,7721,0,0,0,1,1,0
1,2,1,1,1,1410,0,0,0,1,1,0
1,2,2,2,1,1449,0,0,0,1,0,1
4,4,1,1,1,392,0,0,0,1,1,0
3,3,1,1,1,6260,1,0,0,0,0,1
4,2,2,1,0,7855,0,0,0,1,1,0
3,1,1,1,1,1680,0,0,0,1,0,1
4,1,1,1,1,3578,0,0,0,1,1,0
4,3,1,1,0,7174,0,0,1,0,1,0
2,3,2,1,1,2132,0,0,0,1,0,1
1,4,2,1,0,4281,0,0,0,1,0,1
3,3,1,1,1,2366,0,0,1,0,1,0
3,2,2,1,0,1835,0,0,0,1,1,0
4,2,2,1,1,3868,0,0,1,0,1,0
3,2,1,1,1,1768,1,0,0,0,0,1
4,4,2,1,1,781,0,0,0,1,1,0
4,3,1,1,0,1924,0,0,0,1,0,1
4,2,2,1,1,2121,0,0,0,1,0,1
4,2,1,1,1,701,1,0,0,0,0,1
4,2,1,1,0,639,0,0,0,1,0,1
4,2,2,1,1,1860,0,0,1,0,1,0
3,2,2,1,0,3499,0,0,0,1,0,1
1,2,1,1,1,8487,0,0,0,1,0,1
4,3,1,1,0,6887,0,0,0,1,1,0
2,3,2,1,1,2708,1,0,0,0,0,1
4,4,2,1,1,1984,0,0,0,1,0,1
2,4,1,1,1,10144,0,0,0,1,1,0
4,2,2,1,1,1240,0,0,0,1,1,0
2,2,2,1,1,8613,0,0,0,1,0,1
4,3,1,1,0,766,1,0,0,0,0,1
4,2,3,1,1,2728,0,0,0,1,1,0
2,2,1,1,1,1881,1,0,0,0,1,0
2,2,1,1,1,709,0,1,0,0,0,1
4,1,1,1,1,4795,0,0,1,0,1,0
3,2,1,1,1,3416,0,0,1,0,0,1
2,2,1,1,0,2462,0,0,0,1,0,1
4,4,1,1,1,2288,0,0,0,1,1,0
4,2,1,1,1,3566,0,0,0,1,0,1
1,4,2,1,1,860,0,0,0,1,1,0
4,3,2,1,1,682,0,0,0,1,1,0
3,2,2,1,1,5371,0,0,0,1,0,1
4,4,2,1,1,1582,0,0,0,1,0,1
2,4,1,2,1,1346,0,0,0,1,1,0
1,4,1,1,1,1924,0,0,0,1,1,0
4,1,1,1,1,5848,0,0,0,1,0,1
2,4,1,1,1,7758,0,0,0,1,0,1
4,4,1,1,1,6967,0,0,1,0,1,0
2,4,1,1,0,1282,0,0,0,1,0,1
3,4,2,2,1,1288,0,0,0,1,0,1
4,1,1,1,1,339,1,0,0,0,0,1
2,3,2,1,1,3512,0,0,0,1,1,0
1,2,2,2,1,1898,1,0,0,0,0,1
3,4,1,2,1,2872,0,0,0,1,1,0
4,1,2,1,1,1055,0,0,0,1,0,1
4,3,2,1,1,1262,0,0,0,1,1,0
2,4,1,1,1,7308,0,0,1,0,1,0
4,4,1,1,1,909,0,0,0,1,0,1
1,2,1,1,1,2978,0,0,0,1,1,0
4,2,1,1,0,1131,0,0,0,1,0,1
4,1,1,1,1,1577,0,0,0,1,0,1
2,4,1,1,1,3972,0,0,0,1,1,0
4,4,2,1,0,1935,0,0,0,1,1,0
4,3,2,2,0,950,0,0,0,1,0,1
4,1,1,1,1,763,0,0,0,1,1,0
3,2,1,1,0,2064,0,0,1,0,1,0
4,2,1,1,1,1414,0,0,0,1,0,1
2,1,2,1,0,3414,0,0,0,1,0,1
4,1,1,1,0,7485,0,0,1,0,1,0
2,1,1,1,1,2577,0,0,0,1,0,1
4,4,2,1,1,338,0,0,0,1,0,1
4,2,2,2,1,1963,0,0,1,0,1,0
4,4,2,1,1,571,0,0,0,1,0,1
1,1,2,1,0,9572,0,0,0,1,0,1
2,2,2,1,0,4455,0,0,1,0,1,0
4,2,2,2,0,1647,1,0,0,0,0,1
4,4,1,1,1,3777,0,0,0,1,1,0
4,4,1,2,0,884,0,0,0,1,1,0
4,2,2,1,1,1360,0,0,0,1,0,1
2,4,1,2,0,5129,0,0,1,0,1,0
2,3,3,1,1,1175,0,1,0,0,1,0
4,1,1,1,0,674,0,0,0,1,0,1
1,4,2,1,1,3244,0,0,0,1,1,0
2,3,3,1,0,4591,0,0,1,0,1,0
4,4,1,2,0,3844,1,0,0,0,0,1
4,2,1,2,0,3915,0,0,0,1,1,0
2,2,1,1,1,2108,0,0,0,1,0,1
4,4,1,1,0,3031,0,0,0,1,0,1
2,3,2,1,0,1501,0,0,1,0,1,0
1,1,2,1,1,1382,0,0,0,1,1,0
4,4,4,1,0,951,0,0,0,1,0,1
4,4,1,1,1,2760,0,0,0,1,1,0
4,3,1,1,0,4297,0,0,1,0,1,0
4,2,2,1,1,936,0,0,0,1,1,0
4,3,1,1,1,1168,1,0,0,0,0,1
3,4,2,1,1,5117,0,0,0,1,0,1
4,4,1,1,0,902,0,0,0,1,0,1
4,1,2,2,1,1495,1,0,0,0,0,1
3,4,3,2,1,10623,0,0,1,0,1,0
4,4,3,1,1,1935,0,0,0,1,1,0
4,3,1,1,1,1424,0,0,0,1,0,1
2,2,1,1,1,6568,1,0,0,0,0,1
3,2,1,1,1,1413,0,0,0,1,0,1
1,2,2,2,1,3074,0,0,0,1,0,1
2,4,1,1,1,3835,1,0,0,0,1,0
2,4,2,1,0,5293,0,0,0,1,1,0
4,4,1,1,0,1908,0,0,1,0,1,0
4,2,1,1,1,3342,0,0,0,1,1,0
1,3,2,1,1,932,1,0,0,0,0,1
3,1,1,1,1,3104,0,0,0,1,1,0
2,2,1,1,1,3913,0,0,0,1,1,0
2,2,1,1,1,3021,1,0,0,0,0,1
2,4,1,1,1,1364,0,0,0,1,1,0
4,1,1,1,1,625,1,0,0,0,0,1
4,4,1,1,1,1200,0,0,0,1,1,0
4,2,2,1,1,707,0,0,0,1,0,1
4,4,2,2,1,2978,0,0,0,1,1,0
3,2,1,1,1,4657,0,0,0,1,1,0
4,2,2,1,1,2613,0,0,0,1,0,1
1,2,2,1,0,10961,0,0,0,1,1,0
4,4,1,1,0,7865,0,0,1,0,1,0
4,2,1,1,0,1478,0,0,0,1,0,1
4,1,1,1,1,3149,0,0,0,1,0,1
4,2,1,1,0,4210,0,0,0,1,0,1
2,4,1,1,1,2507,1,0,0,0,0,1
3,1,1,1,1,2141,0,0,0,1,0,1
4,2,1,1,1,866,1,0,0,0,0,1
2,1,3,2,1,1544,1,0,0,0,0,1
4,2,1,2,0,1823,0,0,1,0,0,1
1,2,1,1,0,14555,0,1,0,0,1,0
4,2,2,1,0,2767,1,0,0,0,0,1
4,2,2,1,1,1291,0,0,0,1,0,1
1,3,1,2,1,2522,0,0,0,1,0,1
4,2,1,1,0,915,0,0,0,1,0,1
3,2,1,2,1,1595,0,0,0,1,0,1
3,4,2,2,0,4605,0,0,0,1,0,1
3,2,2,1,1,1185,0,0,0,1,0,1
4,3,1,2,1,3447,1,0,0,0,0,1
4,1,1,1,1,1258,0,0,0,1,1,0
4,4,3,1,1,717,0,0,0,1,0,1
4,1,1,1,1,1204,0,0,0,1,0,1
2,2,1,1,1,1925,0,0,0,1,0,1
3,4,1,1,0,433,0,0,0,1,0,1
3,4,2,1,1,666,1,0,0,0,1,0
1,2,1,1,1,2251,1,0,0,0,0,1
4,2,1,1,0,2150,0,0,0,1,0,1
2,3,2,1,1,4151,0,0,0,1,0,1
2,1,1,1,1,2030,0,0,0,1,1,0
1,1,1,1,1,7418,1,0,0,0,0,1
4,2,2,1,1,2684,1,0,0,0,0,1
4,1,1,1,0,2149,0,0,0,1,0,1
1,4,1,1,1,3812,0,0,0,1,1,0
4,4,3,1,1,1154,1,0,0,0,0,1
2,2,1,1,1,1657,0,0,0,1,0,1
4,4,1,1,1,1603,0,0,0,1,0,1
2,4,3,1,1,5302,0,0,1,0,1,0
2,4,3,1,1,2748,1,0,0,0,0,1
3,4,2,2,1,1231,1,0,0,0,0,1
4,3,1,2,0,802,0,0,0,1,0,1
4,4,2,1,1,6304,0,0,0,1,0,1
4,3,1,1,1,1533,0,0,0,1,1,0
1,4,1,1,0,8978,0,0,1,0,1,0
4,2,2,1,1,999,0,0,0,1,0,1
4,3,1,1,1,2662,0,0,0,1,0,1
3,4,1,1,1,1402,0,0,0,1,1,0
4,4,1,1,1,12169,0,0,1,0,1,0
4,4,2,1,0,3060,0,0,0,1,0,1
1,1,1,1,0,11998,1,0,0,0,1,0
1,2,1,2,1,2697,0,0,0,1,0,1
2,2,2,1,1,2404,0,0,0,1,0,1
2,4,1,1,1,1262,1,0,0,0,1,0
1,4,1,1,0,4611,0,0,0,1,0,1
4,4,1,1,1,1901,0,0,1,0,1,0
3,4,2,1,1,3368,0,0,0,1,1,0
4,2,1,1,1,1574,0,0,0,1,0,1
4,4,1,1,1,1445,1,0,0,0,0,1
4,4,1,1,1,1520,0,0,0,1,0,1
4,2,1,1,1,3878,0,0,0,1,1,0
1,1,1,1,1,10722,1,0,0,0,1,0
4,3,1,2,1,4788,0,0,0,1,0,1
2,4,1,1,1,7582,0,0,1,0,1,0
4,4,2,1,1,1092,0,0,0,1,1,0
4,4,1,1,0,1024,0,0,0,1,0,1
2,2,1,1,1,1076,0,0,0,1,1,0
1,4,1,1,0,9398,0,0,1,0,1,0
2,4,2,2,1,6419,0,0,1,0,1,0
4,4,1,1,1,4796,0,0,0,1,0,1
4,2,2,2,1,7629,0,0,1,0,0,1
1,2,1,1,0,9960,0,0,0,1,1,0
1,4,1,1,1,4675,0,0,0,1,0,1
4,2,1,1,1,1287,1,0,0,0,0,1
3,4,1,1,1,2515,0,0,0,1,1,0
3,2,2,1,1,2745,0,0,0,1,1,0
1,4,1,1,1,672,0,1,0,0,1,0
4,1,1,1,0,3804,0,0,0,1,1,0
4,2,2,2,0,1344,1,0,0,0,0,1
4,3,2,1,1,1038,0,0,0,1,1,0
2,2,1,1,0,10127,0,0,0,1,0,1
4,2,1,1,1,1543,0,0,0,1,0,1
2,4,1,1,1,4811,1,0,0,0,0,1
4,3,1,1,0,727,1,0,0,0,1,0
3,4,1,1,0,1237,0,0,0,1,0,1
4,4,1,1,1,276,1,0,0,0,0,1
3,4,1,1,1,5381,0,1,0,0,1,0
4,1,1,1,1,5511,0,0,0,1,0,1
2,4,1,1,1,3749,0,0,0,1,0,1
2,3,1,1,0,685,1,0,0,0,0,1
1,2,1,2,1,1494,1,0,0,0,0,1
4,4,1,1,0,2746,0,0,0,1,0,1
2,3,1,2,1,708,1,0,0,0,0,1
1,4,1,1,1,4351,1,0,0,0,1,0
4,2,2,1,1,701,0,0,0,1,0,1
1,4,2,1,1,3643,1,0,0,0,0,1
4,2,2,1,0,4249,0,0,1,0,0,1
4,3,1,1,0,1938,0,0,0,1,0,1
2,1,1,1,1,2910,0,0,1,0,1,0
4,2,1,1,1,2659,0,0,0,1,0,1
4,3,2,1,1,1028,0,0,0,1,0,1
1,4,2,1,1,3398,1,0,0,0,0,1
2,4,1,1,1,5801,0,0,0,1,1,0
4,3,1,2,1,1525,0,0,0,1,1,0
4,2,1,1,1,4473,0,0,0,1,0,1
4,4,1,2,1,1068,0,0,0,1,0,1
2,4,2,1,1,6615,0,0,1,0,1,0
4,2,2,1,0,1864,0,0,0,1,0,1
4,2,1,1,0,7408,0,0,1,0,0,1
2,4,2,1,0,11590,1,0,0,0,0,1
3,4,2,2,0,4110,0,0,0,1,0,1
1,4,1,1,0,3384,0,0,1,0,1,0
2,4,1,1,1,2101,1,0,0,0,0,1
4,2,1,1,0,1275,0,0,0,1,0,1
4,4,1,1,1,4169,0,0,0,1,0,1
4,2,1,1,1,1521,1,0,0,0,0,1
2,4,2,1,1,5743,0,0,0,1,1,0
1,4,1,1,1,3599,1,0,0,0,0,1
1,3,1,1,1,3213,0,0,0,1,0,1
1,1,1,1,1,4439,0,0,1,0,1,0
1,1,1,2,1,3949,1,0,0,0,0,1
4,2,1,1,1,1459,1,0,0,0,0,1
4,4,2,1,1,882,0,0,0,1,0,1
1,4,1,1,1,3758,0,1,0,0,0,1
1,2,2,1,1,1743,1,0,0,0,0,1
4,3,2,2,0,1136,0,0,0,1,0,1
1,4,1,1,1,1236,0,0,0,1,1,0
1,2,1,1,0,959,0,0,0,1,0,1
2,4,1,1,1,3229,0,0,1,0,1,0
4,2,2,1,0,6199,0,0,0,1,1,0
4,4,1,1,1,727,0,0,0,1,1,0
4,2,1,1,0,1246,1,0,0,0,0,1
1,4,1,1,1,2331,0,0,0,1,1,0
4,2,2,1,0,4463,0,0,1,0,1,0
4,2,1,1,1,776,0,0,0,1,0,1
4,4,1,1,0,2406,0,0,0,1,0,1
4,4,1,1,1,1239,0,0,0,1,0,1
2,3,1,1,1,3399,0,0,1,0,0,1
2,2,2,1,1,2247,0,0,0,1,1,0
1,2,1,1,1,1766,0,0,0,1,0,1
4,1,1,1,0,2473,0,1,0,0,0,1
2,4,1,1,1,1542,0,0,0,1,1,0
3,1,2,1,1,3850,0,0,0,1,0,1
1,4,1,1,1,3650,0,0,0,1,0,1
4,2,1,2,0,3446,0,0,0,1,0,1
2,4,1,1,1,3001,0,0,0,1,0,1
4,4,1,1,1,3079,0,0,0,1,0,1
3,4,2,1,1,6070,0,0,0,1,1,0
1,3,2,1,1,2146,0,0,0,1,0,1
2,4,1,1,1,13756,0,0,1,0,1,0
3,4,2,1,0,14782,0,0,1,0,1,0
2,4,1,1,0,7685,0,0,0,1,0,1
2,3,2,1,1,2320,0,0,0,1,0,1
3,4,1,1,1,846,0,0,0,1,0,1
4,2,1,1,0,14318,0,0,1,0,1,0
4,4,2,1,1,362,1,0,0,0,0,1
4,4,1,1,1,2212,0,0,0,1,1,0
3,4,1,1,0,12976,0,0,1,0,1,0
4,4,1,1,1,1283,0,0,0,1,0,1
4,1,1,1,1,1330,0,0,0,1,0,1
2,2,2,1,1,4272,1,0,0,0,0,1
2,1,2,1,1,2238,0,0,0,1,0,1
4,2,1,1,1,1126,0,0,0,1,1,0
4,4,2,1,1,7374,0,0,1,0,1,0
2,4,1,1,1,2326,0,0,0,1,0,1
3,2,2,1,1,1449,0,0,0,1,0,1
2,2,1,1,1,1820,0,0,1,0,1,0
1,4,1,1,1,983,1,0,0,0,0,1
2,4,1,2,1,3249,0,0,1,0,1,0
1,4,1,1,1,1957,0,0,0,1,0,1
2,3,1,1,1,2406,0,0,1,0,0,1
2,3,1,1,1,11760,0,0,0,1,1,0
3,4,1,1,1,2578,0,0,1,0,0,1
3,2,2,1,1,2348,0,0,0,1,1,0
1,1,2,1,0,1223,0,0,0,1,0,1
4,1,2,1,1,1516,1,0,0,0,0,1
3,4,1,1,1,1473,0,0,0,1,1,0
4,4,2,1,1,1887,0,0,0,1,0,1
2,2,2,1,0,8648,0,0,0,1,1,0
4,2,2,1,1,802,1,0,0,0,0,1
4,4,1,2,1,2899,0,0,0,1,0,1
1,1,1,1,0,2039,0,0,0,1,1,0
4,4,2,2,1,2197,0,0,0,1,1,0
4,2,1,1,1,1053,0,0,0,1,0,1
3,2,1,1,1,3235,0,0,1,0,1,0
4,2,3,1,0,939,0,0,0,1,1,0
4,4,1,1,1,1967,0,0,0,1,1,0
3,2,2,1,1,7253,0,0,1,0,1,0
4,2,2,1,0,2292,0,0,1,0,1,0
3,2,1,2,1,1597,1,0,0,0,0,1
4,2,1,1,0,1381,0,0,0,1,0,1
2,2,2,2,1,5842,0,0,0,1,1,0
4,1,1,2,0,2579,1,0,0,0,0,1
1,2,2,1,1,8471,0,0,0,1,1,0
1,2,1,1,1,2782,0,0,1,0,0,1
4,2,1,1,0,1042,0,0,0,1,0,1
2,3,1,1,1,3186,0,0,0,1,0,1
4,2,1,1,1,2028,0,0,0,1,0,1
2,3,2,2,1,958,1,0,0,0,0,1
4,3,2,1,1,1591,0,0,1,0,0,1
1,2,1,1,0,2762,0,0,0,1,1,0
1,3,1,1,1,2779,0,0,0,1,1,0
4,2,2,1,1,2743,0,0,0,1,0,1
4,3,2,1,1,1149,0,0,0,1,0,1
1,4,1,1,1,1313,0,0,0,1,0,1
2,4,3,2,0,1190,0,1,0,0,0,1
1,4,1,1,1,3448,1,0,0,0,0,1
2,3,2,1,0,11328,0,0,1,0,1,0
4,4,3,1,1,1872,0,0,1,0,1,0
4,2,2,1,1,2058,0,0,0,1,1,0
3,2,1,1,1,2136,0,0,0,1,0,1
2,1,1,1,0,1484,0,0,0,1,1,0
2,4,1,1,1,660,1,0,0,0,0,1
4,4,2,1,1,1287,0,0,0,1,1,0
4,4,2,1,1,3394,0,1,0,0,0,1
4,1,1,1,0,609,0,1,0,0,0,1
4,4,1,1,1,1884,0,0,1,0,1,0
2,3,1,1,1,1620,0,0,0,1,0,1
2,3,2,1,1,2629,0,0,0,1,1,0
4,4,1,2,0,719,1,0,0,0,0,1
2,3,1,1,0,5096,0,0,1,0,1,0
4,4,2,1,1,1244,1,0,0,0,0,1
4,4,1,1,0,1842,0,0,0,1,1,0
2,2,1,1,1,2576,0,0,0,1,0,1
3,4,1,1,1,1424,0,0,1,0,1,0
3,3,2,1,0,1512,0,0,0,1,0,1
4,2,1,1,1,11054,0,0,1,0,1,0
3,1,1,1,1,518,0,0,0,1,0,1
2,4,2,1,1,2759,0,0,0,1,0,1
4,4,1,1,1,2670,0,0,1,0,1,0
2,3,1,1,0,4817,0,0,0,1,1,0
4,1,1,1,1,2679,0,0,1,0,1,0
2,2,2,2,1,3905,0,0,0,1,0,1
3,4,1,1,0,3386,0,0,0,1,1,0
4,1,1,1,1,343,0,0,0,1,0,1
3,2,1,1,1,4594,0,0,0,1,1,0
1,2,1,2,1,3620,0,0,0,1,0,1
2,3,1,1,1,1721,0,0,0,1,0,1
3,1,1,1,1,3017,0,0,1,0,0,1
4,4,2,1,1,754,0,0,0,1,0,1
4,1,2,1,1,1950,0,0,0,1,1,0
3,4,1,2,1,2924,0,0,0,1,1,0
4,2,1,1,0,1659,1,0,0,0,1,0
3,3,2,2,1,7238,0,0,0,1,0,1
2,2,2,1,1,2764,0,0,0,1,1,0
3,3,2,1,1,4679,1,0,0,0,1,0
3,2,1,1,0,3092,0,0,0,1,1,0
4,4,1,1,0,448,0,0,0,1,0,1
4,3,1,1,0,654,1,0,0,0,0,1
4,4,1,2,1,1238,0,0,1,0,1,0
4,2,1,1,0,1245,0,0,0,1,0,1
1,4,1,1,0,3114,0,0,0,1,0,1
4,4,1,1,1,2569,0,0,0,1,0,1
4,2,1,1,1,5152,0,0,0,1,0,1
3,4,1,1,1,1037,1,0,0,0,0,1
4,4,2,2,1,1478,0,0,0,1,1,0
1,1,1,1,1,3573,1,0,0,0,0,1
4,1,1,1,1,1201,0,0,0,1,0,1
4,4,2,1,1,3622,0,0,0,1,1,0
3,2,2,1,1,960,0,0,0,1,0,1
4,4,1,1,1,1163,0,0,0,1,1,0
4,4,1,1,0,1209,0,0,1,0,1,0
2,4,1,1,1,3077,0,0,0,1,1,0
4,4,1,1,1,3757,0,0,0,1,1,0
3,2,1,1,1,1418,1,0,0,0,0,1
2,3,1,1,1,3518,0,0,0,1,0,1
2,2,2,1,1,1934,0,0,0,1,0,1
2,4,2,1,0,8318,0,0,1,0,1,0
1,1,2,1,1,1237,0,0,0,1,0,1
4,4,1,1,1,368,0,0,0,1,0,1
3,2,2,2,1,2122,1,0,0,0,0,1
2,4,1,1,0,2996,0,0,0,1,0,1
4,1,1,1,0,9034,0,0,1,0,1,0
4,3,2,1,1,1585,0,0,0,1,0,1
4,2,1,1,1,1301,1,0,0,0,0,1
2,4,2,2,1,1323,0,0,0,1,1,0
4,1,1,1,0,3123,0,0,0,1,0,1
2,4,1,2,1,5493,0,0,0,1,0,1
2,4,1,1,1,1126,0,0,0,1,0,1
4,4,2,2,0,1216,0,0,0,1,0,1
4,4,1,1,0,1207,0,0,0,1,0,1
4,4,1,1,0,1309,1,0,0,0,0,1
2,2,1,1,1,2360,0,0,0,1,1,0
1,2,1,2,0,6850,0,0,1,0,1,0
4,2,1,1,1,1413,0,0,0,1,0,1
4,2,1,1,1,8588,0,0,1,0,1,0
4,2,1,1,0,759,0,0,0,1,0,1
2,2,1,1,1,4686,0,0,1,0,1,0
2,4,1,1,1,2687,0,0,0,1,1,0
4,4,2,1,1,585,0,0,0,1,0,1
4,1,1,1,1,2255,0,0,0,1,0,1
4,3,2,1,1,609,0,0,0,1,0,1
2,4,1,2,1,1361,1,0,0,0,0,1
2,4,2,1,0,7127,0,0,0,1,1,0
3,2,1,1,1,1203,0,0,0,1,1,0
4,4,2,1,1,700,0,0,0,1,0,1
3,4,2,1,1,5507,0,0,0,1,0,1
2,2,1,1,0,3190,0,0,0,1,0,1
3,4,2,2,0,7119,0,0,0,1,0,1
3,4,1,1,1,3488,0,0,0,1,0,1
4,4,1,2,1,1113,1,0,0,0,0,1
2,3,2,1,1,7966,0,0,0,1,0,1
4,3,1,1,1,1532,0,0,0,1,0,1
2,1,2,2,1,1503,1,0,0,0,0,1
4,4,1,1,0,2302,0,0,0,1,0,1
3,4,1,2,1,662,1,0,0,0,1,0
3,1,2,2,1,2273,0,0,0,1,0,1
2,4,2,1,0,2631,0,0,0,1,1,0
4,4,1,1,1,1503,0,0,0,1,0,1
4,3,1,1,1,1311,0,0,0,1,1,0
4,2,2,1,1,3105,0,0,0,1,0,1
2,1,1,1,0,2319,0,0,0,1,0,1
4,3,1,1,1,1374,0,0,1,0,1,0
3,4,1,1,1,3612,0,0,0,1,1,0
4,4,1,1,0,7763,0,0,1,0,0,1
1,1,1,1,1,3049,1,0,0,0,0,1
1,1,1,1,0,1534,0,0,0,1,0,1
4,4,2,1,1,2032,0,0,0,1,1,0
4,4,1,1,0,6350,0,0,0,1,0,1
2,1,1,2,0,2864,1,0,0,0,0,1
