Stanje na računu,Trajanje računa,Istorija kredita,Svrha uzimanja,Iznos kredita,Račun za štednju,Zaposlenost,Kamata – u procentima od tekućih prihoda,Pol i bračni staus,Žirant Ko-aplikant,Prebivalište (u godinama),Imovina,Godine starosti,Plaćanje u ratama,Stan/Kuća,Postojeći kredit u ovoj banci,Vrsta posla,Izdržavani: broj lica koji zavise od prihoda aplikanta,Telefon,Radnik stranac,Odobren kredit
<0 DM,48,drugi krediti plaćani na vreme,biznis,4308,<100 DM,<=1 godina,3,"žensko, udata/razvedena",nema,4,ulaganje u nekretnine/životno osiguranje,24,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
0 <= <200 DM,12,drugi krediti plaćani na vreme,muzička tehnika/televizija,1567,<100 DM,1<= < 4 godina,1,"žensko, udata/razvedena",nema,1,automobil ili drugo,22,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
<0 DM,24,kritičan račun,automobil (nov),1199,<100 DM,>=7 godina,4,"muško, neoženjen",nema,4,automobil ili drugo,60,nema,poseduje,2,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Ne
<0 DM,15,drugi krediti plaćani na vreme,automobil (nov),1403,<100 DM,1<= < 4 godina,2,"žensko, udata/razvedena",nema,4,automobil ili drugo,28,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,24,drugi krediti plaćani na vreme,muzička tehnika/televizija,1282,100 <= <500 DM,1<= < 4 godina,4,"žensko, udata/razvedena",nema,2,automobil ili drugo,32,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Ne
nema računa u ovoj banci,24,kritičan račun,muzička tehnika/televizija,2424,nema račun za štednju,>=7 godina,4,"muško, neoženjen",nema,4,ulaganje u nekretnine/životno osiguranje,53,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,30,nema uzetih kredita,biznis,8072,nema račun za štednju,<=1 godina,2,"muško, neoženjen",nema,3,automobil ili drugo,25,banka,poseduje,3,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
0 <= <200 DM,24,drugi krediti plaćani na vreme,automobil (polovan),12579,<100 DM,>=7 godina,4,"žensko, udata/razvedena",nema,2,nema,44,nema,živi besplatno,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Ne
nema računa u ovoj banci,24,drugi krediti plaćani na vreme,muzička tehnika/televizija,3430,500 <= < 1000 DM,>=7 godina,3,"muško, neoženjen",nema,2,automobil ili drugo,31,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,2,ima,da,Da
nema računa u ovoj banci,9,kritičan račun,automobil (nov),2134,<100 DM,1<= < 4 godina,4,"muško, neoženjen",nema,4,automobil ili drugo,48,nema,poseduje,3,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
<0 DM,6,drugi krediti plaćani na vreme,muzička tehnika/televizija,2647,500 <= < 1000 DM,1<= < 4 godina,2,"muško, neoženjen",nema,3,poseduje nekretninu,44,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,2,nema,da,Da
<0 DM,10,kritičan račun,automobil (nov),2241,<100 DM,<=1 godina,1,"muško, neoženjen",nema,3,poseduje nekretninu,48,nema,stanarina,2,nema zvanično obrazovanje: ima stalan posao,2,nema,ne,Da
0 <= <200 DM,12,kritičan račun,automobil (polovan),1804,100 <= <500 DM,<=1 godina,3,"muško, neoženjen",nema,4,ulaganje u nekretnine/životno osiguranje,44,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,10,kritičan račun,nameštaj,2069,nema račun za štednju,1<= < 4 godina,2,"muško, oženjen/udovac",nema,1,automobil ili drugo,26,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,ne,Da
<0 DM,6,drugi krediti plaćani na vreme,nameštaj,1374,<100 DM,1<= < 4 godina,1,"muško, neoženjen",nema,2,poseduje nekretninu,36,banka,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,ima,da,Da
nema računa u ovoj banci,6,nema uzetih kredita,muzička tehnika/televizija,426,<100 DM,>=7 godina,4,"muško, oženjen/udovac",nema,4,automobil ili drugo,39,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
>= 200 DM ,12,svi krediti u ovoj banci vraćeni na vreme,muzička tehnika/televizija,409,>= 1000 DM,1<= < 4 godina,3,"žensko, udata/razvedena",nema,3,poseduje nekretninu,42,nema,stanarina,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
0 <= <200 DM,7,drugi krediti plaćani na vreme,muzička tehnika/televizija,2415,<100 DM,1<= < 4 godina,3,"muško, neoženjen",žirant,2,poseduje nekretninu,34,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,60,kašnjenje sa uplatama,biznis,6836,<100 DM,>=7 godina,3,"muško, neoženjen",nema,4,nema,63,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Ne
0 <= <200 DM,18,drugi krediti plaćani na vreme,biznis,1913,>= 1000 DM,<=1 godina,3,"muško, oženjen/udovac",nema,3,poseduje nekretninu,36,banka,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
<0 DM,24,drugi krediti plaćani na vreme,nameštaj,4020,<100 DM,1<= < 4 godina,2,"muško, neoženjen",nema,2,automobil ili drugo,27,radnja,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
0 <= <200 DM,18,drugi krediti plaćani na vreme,automobil (nov),5866,100 <= <500 DM,1<= < 4 godina,2,"muško, neoženjen",nema,2,automobil ili drugo,30,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
nema računa u ovoj banci,12,kritičan račun,biznis,1264,nema račun za štednju,>=7 godina,4,"muško, neoženjen",nema,4,nema,57,nema,stanarina,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
>= 200 DM ,12,drugi krediti plaćani na vreme,nameštaj,1474,<100 DM,<=1 godina,4,"žensko, udata/razvedena",nema,1,ulaganje u nekretnine/životno osiguranje,33,banka,poseduje,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Da
0 <= <200 DM,45,kritičan račun,muzička tehnika/televizija,4746,<100 DM,<=1 godina,4,"muško, neoženjen",nema,2,ulaganje u nekretnine/životno osiguranje,25,nema,poseduje,2,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Ne
nema računa u ovoj banci,48,kritičan račun,obrazovanje,6110,<100 DM,1<= < 4 godina,1,"muško, neoženjen",nema,3,nema,31,banka,živi besplatno,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
>= 200 DM ,18,drugi krediti plaćani na vreme,muzička tehnika/televizija,2100,<100 DM,1<= < 4 godina,4,"muško, neoženjen",ko-aplikant,2,poseduje nekretninu,37,radnja,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
>= 200 DM ,10,drugi krediti plaćani na vreme,bela tehnika,1225,<100 DM,1<= < 4 godina,2,"muško, neoženjen",nema,2,automobil ili drugo,37,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
0 <= <200 DM,9,drugi krediti plaćani na vreme,muzička tehnika/televizija,458,<100 DM,1<= < 4 godina,4,"muško, neoženjen",nema,3,poseduje nekretninu,24,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,30,drugi krediti plaćani na vreme,muzička tehnika/televizija,2333,500 <= < 1000 DM,>=7 godina,4,"muško, neoženjen",nema,2,automobil ili drugo,30,banka,poseduje,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,nema,da,Da
0 <= <200 DM,12,drugi krediti plaćani na vreme,muzička tehnika/televizija,1158,500 <= < 1000 DM,1<= < 4 godina,3,"muško, razveden",nema,1,automobil ili drugo,26,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
0 <= <200 DM,18,kašnjenje sa uplatama,popravka,6204,<100 DM,1<= < 4 godina,2,"muško, neoženjen",nema,4,poseduje nekretninu,44,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,2,ima,da,Da
<0 DM,30,kritičan račun,automobil (polovan),6187,100 <= <500 DM,4<= <7 godina,1,"muško, oženjen/udovac",nema,4,automobil ili drugo,24,nema,stanarina,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,48,kritičan račun,automobil (polovan),6143,<100 DM,>=7 godina,4,"žensko, udata/razvedena",nema,4,nema,58,radnja,živi besplatno,2,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Ne
nema računa u ovoj banci,11,kritičan račun,automobil (nov),1393,<100 DM,<=1 godina,4,"žensko, udata/razvedena",nema,4,automobil ili drugo,35,nema,poseduje,2,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,nema,da,Da
nema računa u ovoj banci,36,drugi krediti plaćani na vreme,muzička tehnika/televizija,2299,500 <= < 1000 DM,>=7 godina,4,"muško, neoženjen",nema,4,automobil ili drugo,39,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,6,drugi krediti plaćani na vreme,automobil (polovan),1352,500 <= < 1000 DM,nezaposlen,1,"žensko, udata/razvedena",nema,2,ulaganje u nekretnine/životno osiguranje,23,nema,stanarina,1,nezposlen/nema zvanično obrazovanje,1,ima,da,Da
nema računa u ovoj banci,11,kritičan račun,automobil (nov),7228,<100 DM,1<= < 4 godina,1,"muško, neoženjen",nema,4,ulaganje u nekretnine/životno osiguranje,39,nema,poseduje,2,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
nema računa u ovoj banci,12,drugi krediti plaćani na vreme,muzička tehnika/televizija,2073,100 <= <500 DM,1<= < 4 godina,4,"žensko, udata/razvedena",ko-aplikant,2,poseduje nekretninu,28,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
0 <= <200 DM,24,kašnjenje sa uplatama,nameštaj,2333,nema račun za štednju,<=1 godina,4,"muško, neoženjen",nema,2,ulaganje u nekretnine/životno osiguranje,29,banka,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
0 <= <200 DM,27,kašnjenje sa uplatama,automobil (polovan),5965,<100 DM,>=7 godina,1,"muško, neoženjen",nema,2,automobil ili drugo,30,nema,poseduje,2,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Da
nema računa u ovoj banci,12,drugi krediti plaćani na vreme,muzička tehnika/televizija,1262,<100 DM,1<= < 4 godina,3,"muško, neoženjen",nema,2,automobil ili drugo,25,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,18,drugi krediti plaćani na vreme,automobil (polovan),3378,nema račun za štednju,1<= < 4 godina,2,"muško, neoženjen",nema,1,ulaganje u nekretnine/životno osiguranje,31,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
0 <= <200 DM,36,kašnjenje sa uplatama,automobil (nov),2225,<100 DM,>=7 godina,4,"muško, neoženjen",nema,4,nema,57,banka,živi besplatno,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Ne
nema računa u ovoj banci,6,svi krediti u ovoj banci vraćeni na vreme,automobil (nov),783,nema račun za štednju,1<= < 4 godina,1,"muško, neoženjen",žirant,2,poseduje nekretninu,26,radnja,poseduje,1,nema zvanično obrazovanje: ima stalan posao,2,nema,da,Da
0 <= <200 DM,12,drugi krediti plaćani na vreme,muzička tehnika/televizija,6468,nema račun za štednju,nezaposlen,2,"muško, neoženjen",nema,1,nema,52,nema,poseduje,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Ne
nema računa u ovoj banci,36,kritičan račun,muzička tehnika/televizija,9566,<100 DM,1<= < 4 godina,2,"žensko, udata/razvedena",nema,2,automobil ili drugo,31,radnja,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
>= 200 DM ,18,drugi krediti plaćani na vreme,automobil (nov),1961,<100 DM,>=7 godina,3,"žensko, udata/razvedena",nema,2,automobil ili drugo,23,nema,poseduje,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,nema,da,Da
<0 DM,36,kritičan račun,nameštaj,6229,<100 DM,<=1 godina,4,"žensko, udata/razvedena",ko-aplikant,4,nema,23,nema,stanarina,2,nema zvanično obrazovanje: ima stalan posao,1,ima,da,Ne
0 <= <200 DM,9,drugi krediti plaćani na vreme,biznis,1391,<100 DM,1<= < 4 godina,2,"muško, oženjen/udovac",nema,1,poseduje nekretninu,27,banka,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
0 <= <200 DM,15,kritičan račun,muzička tehnika/televizija,1537,nema račun za štednju,>=7 godina,4,"muško, neoženjen",žirant,4,poseduje nekretninu,50,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
0 <= <200 DM,36,nema uzetih kredita,biznis,1953,<100 DM,>=7 godina,4,"muško, neoženjen",nema,4,nema,61,nema,živi besplatno,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Ne
0 <= <200 DM,48,nema uzetih kredita,biznis,14421,<100 DM,1<= < 4 godina,2,"muško, neoženjen",nema,2,automobil ili drugo,25,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Ne
nema računa u ovoj banci,24,drugi krediti plaćani na vreme,muzička tehnika/televizija,3181,<100 DM,<=1 godina,4,"žensko, udata/razvedena",nema,4,ulaganje u nekretnine/životno osiguranje,26,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
nema računa u ovoj banci,27,drugi krediti plaćani na vreme,popravka,5190,nema račun za štednju,>=7 godina,4,"muško, neoženjen",nema,4,ulaganje u nekretnine/životno osiguranje,48,nema,poseduje,4,zaposlen i ima zvanično obrazovanje,2,ima,da,Da
nema računa u ovoj banci,12,drugi krediti plaćani na vreme,muzička tehnika/televizija,2171,<100 DM,<=1 godina,2,"žensko, udata/razvedena",nema,2,automobil ili drugo,29,banka,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
0 <= <200 DM,12,drugi krediti plaćani na vreme,automobil (nov),1007,>= 1000 DM,1<= < 4 godina,4,"muško, oženjen/udovac",nema,1,poseduje nekretninu,22,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,36,drugi krediti plaćani na vreme,obrazovanje,1819,<100 DM,1<= < 4 godina,4,"muško, neoženjen",nema,4,nema,37,radnja,živi besplatno,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Ne
nema računa u ovoj banci,36,drugi krediti plaćani na vreme,muzička tehnika/televizija,2394,nema račun za štednju,1<= < 4 godina,4,"žensko, udata/razvedena",nema,4,automobil ili drugo,25,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,36,drugi krediti plaćani na vreme,automobil (polovan),8133,<100 DM,1<= < 4 godina,1,"žensko, udata/razvedena",nema,2,ulaganje u nekretnine/životno osiguranje,30,banka,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,7,kritičan račun,muzička tehnika/televizija,730,nema račun za štednju,>=7 godina,4,"muško, neoženjen",nema,2,ulaganje u nekretnine/životno osiguranje,46,nema,stanarina,2,nema zvanično obrazovanje: ima stalan posao,1,ima,da,Da
<0 DM,8,kritičan račun,ostalo,1164,<100 DM,>=7 godina,3,"muško, neoženjen",nema,4,nema,51,banka,živi besplatno,2,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,2,ima,da,Da
0 <= <200 DM,42,kritičan račun,biznis,5954,<100 DM,4<= <7 godina,2,"žensko, udata/razvedena",nema,1,poseduje nekretninu,41,banka,poseduje,2,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
<0 DM,36,drugi krediti plaćani na vreme,obrazovanje,1977,nema račun za štednju,>=7 godina,4,"muško, neoženjen",nema,4,nema,40,nema,poseduje,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Ne
<0 DM,12,kritičan račun,automobil (polovan),1526,<100 DM,>=7 godina,4,"muško, neoženjen",nema,4,nema,66,nema,živi besplatno,2,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,nema,da,Da
<0 DM,42,drugi krediti plaćani na vreme,muzička tehnika/televizija,3965,<100 DM,<=1 godina,4,"muško, neoženjen",nema,3,automobil ili drugo,34,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
0 <= <200 DM,11,kašnjenje sa uplatama,muzička tehnika/televizija,4771,<100 DM,4<= <7 godina,2,"muško, neoženjen",nema,4,ulaganje u nekretnine/životno osiguranje,51,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,54,nema uzetih kredita,automobil (polovan),9436,nema račun za štednju,1<= < 4 godina,2,"muško, neoženjen",nema,2,ulaganje u nekretnine/životno osiguranje,39,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,2,nema,da,Da
0 <= <200 DM,30,drugi krediti plaćani na vreme,nameštaj,3832,<100 DM,<=1 godina,2,"muško, oženjen/udovac",nema,1,ulaganje u nekretnine/životno osiguranje,22,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,24,drugi krediti plaćani na vreme,muzička tehnika/televizija,5943,nema račun za štednju,<=1 godina,1,"žensko, udata/razvedena",nema,1,automobil ili drugo,44,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Ne
nema računa u ovoj banci,15,drugi krediti plaćani na vreme,muzička tehnika/televizija,1213,500 <= < 1000 DM,>=7 godina,4,"muško, neoženjen",nema,3,ulaganje u nekretnine/životno osiguranje,47,radnja,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
nema računa u ovoj banci,18,drugi krediti plaćani na vreme,biznis,1568,100 <= <500 DM,1<= < 4 godina,3,"žensko, udata/razvedena",nema,4,ulaganje u nekretnine/životno osiguranje,24,nema,stanarina,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
<0 DM,24,drugi krediti plaćani na vreme,ostalo,1755,<100 DM,>=7 godina,4,"žensko, udata/razvedena",žirant,4,poseduje nekretninu,58,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,ima,da,Da
<0 DM,10,drugi krediti plaćani na vreme,muzička tehnika/televizija,2315,<100 DM,>=7 godina,3,"muško, neoženjen",nema,4,poseduje nekretninu,52,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
nema računa u ovoj banci,12,kritičan račun,biznis,1412,<100 DM,1<= < 4 godina,4,"žensko, udata/razvedena",žirant,2,poseduje nekretninu,29,nema,poseduje,2,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Da
0 <= <200 DM,18,kritičan račun,nameštaj,1295,<100 DM,<=1 godina,4,"žensko, udata/razvedena",nema,1,ulaganje u nekretnine/životno osiguranje,27,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
0 <= <200 DM,36,drugi krediti plaćani na vreme,obrazovanje,12612,100 <= <500 DM,1<= < 4 godina,1,"muško, neoženjen",nema,4,nema,47,nema,živi besplatno,1,zaposlen i ima zvanično obrazovanje,2,ima,da,Ne
<0 DM,18,drugi krediti plaćani na vreme,automobil (nov),2249,100 <= <500 DM,4<= <7 godina,4,"muško, neoženjen",nema,3,automobil ili drugo,30,nema,poseduje,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,2,ima,da,Da
<0 DM,12,nema uzetih kredita,popravka,1108,<100 DM,4<= <7 godina,4,"muško, neoženjen",nema,3,poseduje nekretninu,28,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
nema računa u ovoj banci,12,kritičan račun,muzička tehnika/televizija,618,<100 DM,>=7 godina,4,"muško, neoženjen",nema,4,poseduje nekretninu,56,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,12,kritičan račun,automobil (polovan),1409,<100 DM,>=7 godina,4,"muško, neoženjen",nema,3,poseduje nekretninu,54,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,12,kritičan račun,muzička tehnika/televizija,797,nema račun za štednju,>=7 godina,4,"žensko, udata/razvedena",nema,3,ulaganje u nekretnine/životno osiguranje,33,banka,poseduje,1,nema zvanično obrazovanje: ima stalan posao,2,nema,da,Ne
>= 200 DM ,24,kritičan račun,nameštaj,3617,nema račun za štednju,>=7 godina,4,"muško, neoženjen",ko-aplikant,4,nema,20,nema,stanarina,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
0 <= <200 DM,12,drugi krediti plaćani na vreme,automobil (nov),1318,>= 1000 DM,>=7 godina,4,"muško, neoženjen",nema,4,poseduje nekretninu,54,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
0 <= <200 DM,54,nema uzetih kredita,biznis,15945,<100 DM,<=1 godina,3,"muško, neoženjen",nema,4,nema,58,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Ne
nema računa u ovoj banci,12,kritičan račun,obrazovanje,2012,nema račun za štednju,4<= <7 godina,4,"žensko, udata/razvedena",nema,2,automobil ili drugo,61,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
0 <= <200 DM,18,drugi krediti plaćani na vreme,biznis,2622,100 <= <500 DM,1<= < 4 godina,4,"muško, neoženjen",nema,4,automobil ili drugo,34,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
0 <= <200 DM,36,kritičan račun,muzička tehnika/televizija,2337,<100 DM,>=7 godina,4,"muško, neoženjen",nema,4,poseduje nekretninu,36,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
0 <= <200 DM,20,kašnjenje sa uplatama,automobil (polovan),7057,nema račun za štednju,4<= <7 godina,3,"muško, neoženjen",nema,4,ulaganje u nekretnine/životno osiguranje,36,banka,stanarina,2,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,2,ima,da,Da
nema računa u ovoj banci,24,drugi krediti plaćani na vreme,automobil (nov),1469,100 <= <500 DM,>=7 godina,4,"muško, oženjen/udovac",nema,4,poseduje nekretninu,41,nema,stanarina,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
0 <= <200 DM,36,drugi krediti plaćani na vreme,muzička tehnika/televizija,2323,<100 DM,4<= <7 godina,4,"muško, neoženjen",nema,4,automobil ili drugo,24,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,6,kašnjenje sa uplatama,muzička tehnika/televizija,932,<100 DM,1<= < 4 godina,3,"žensko, udata/razvedena",nema,2,poseduje nekretninu,24,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
0 <= <200 DM,9,kritičan račun,nameštaj,1919,<100 DM,4<= <7 godina,4,"muško, neoženjen",nema,3,automobil ili drugo,35,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
nema računa u ovoj banci,12,drugi krediti plaćani na vreme,automobil (polovan),2445,nema račun za štednju,<=1 godina,2,"muško, oženjen/udovac",nema,4,automobil ili drugo,26,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
0 <= <200 DM,24,kritičan račun,ostalo,11938,<100 DM,1<= < 4 godina,2,"muško, neoženjen",ko-aplikant,3,automobil ili drugo,39,nema,poseduje,2,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,2,ima,da,Ne
nema računa u ovoj banci,18,svi krediti u ovoj banci vraćeni na vreme,automobil (nov),6458,<100 DM,>=7 godina,2,"muško, neoženjen",nema,4,nema,39,banka,poseduje,2,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,2,ima,da,Ne
0 <= <200 DM,12,drugi krediti plaćani na vreme,automobil (nov),6078,<100 DM,4<= <7 godina,2,"muško, neoženjen",nema,2,automobil ili drugo,32,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,24,drugi krediti plaćani na vreme,nameštaj,7721,nema račun za štednju,<=1 godina,1,"žensko, udata/razvedena",nema,2,ulaganje u nekretnine/životno osiguranje,30,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,ne,Da
